"prefLabel"," startDate"," endDate","uri","listOfMembers"
"Vaalikausi 1907−1908 I","22.05.1907","31.07.1908","http://ldf.fi/semparl/times/electoral-terms/e_1907-05-22-1908-07-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1907-1908-I.pdf"
"Vaalikausi 1908 II−1909 I","01.08.1908","31.05.1909","http://ldf.fi/semparl/times/electoral-terms/e_1908-08-01-1909-05-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1908-II-1909-I.pdf"
"Vaalikausi 1909 II−1909 II","01.06.1909","28.02.1910","http://ldf.fi/semparl/times/electoral-terms/e_1909-06-01-1910-02-28","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1909-II-1909-II.pdf"
"Vaalikausi 1910 v–1910 y","01.03.1910","31.01.1911","http://ldf.fi/semparl/times/electoral-terms/e_1910-03-01-1911-01-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1910-v-1910-y.pdf"
"Vaalikausi 1911−1913","01.02.1911","01.02.1914","http://ldf.fi/semparl/times/electoral-terms/e_1911-02-01-1914-02-01","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1911-1913.pdf"
"Vaalikausi 1914−1914","02.02.1914","03.04.1917","http://ldf.fi/semparl/times/electoral-terms/e_1914-02-02-1917-04-03","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1914-1914.pdf"
"Vaalikausi 1917 I−1917 I","04.04.1917","31.10.1917","http://ldf.fi/semparl/times/electoral-terms/e_1917-04-04-1917-10-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1917-I-1917-I.pdf"
"Vaalikausi 1917 II−1918 v","01.11.1917","31.03.1919","http://ldf.fi/semparl/times/electoral-terms/e_1917-11-01-1919-03-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1917-II-1918-v.pdf"
"Vaalikausi 1919−1921","01.04.1919","04.09.1922","http://ldf.fi/semparl/times/electoral-terms/e_1919-04-01-1922-09-04","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1919-1921.pdf"
"Vaalikausi 1922−1923","05.09.1922","30.04.1924","http://ldf.fi/semparl/times/electoral-terms/e_1922-09-05-1924-04-30","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1922-1923.pdf"
"Vaalikausi 1924−1926","01.05.1924","01.09.1927","http://ldf.fi/semparl/times/electoral-terms/e_1924-05-01-1927-09-01","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1924-1926.pdf"
"Vaalikausi 1927−1929 I","02.09.1927","31.07.1929","http://ldf.fi/semparl/times/electoral-terms/e_1927-09-02-1929-07-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1927-1929-I.pdf"
"Vaalikausi 1929 II−1930 I","01.08.1929","20.10.1930","http://ldf.fi/semparl/times/electoral-terms/e_1929-08-01-1930-10-20","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1929-II-1930-I.pdf"
"Vaalikausi 1930 II−1932 v","21.10.1930","31.08.1933","http://ldf.fi/semparl/times/electoral-terms/e_1930-10-21-1933-08-31","https://www.eduskunta.fi/FI/kansanedustajat/entiset_kansanedustajat/Documents/Vaalikausi-1930-II-1932-v.pdf"
