id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
910215	http://ldf.fi/semparl/people/p910215	Aakula	Eemeli		Mikkel Emil; Mikko Eemeli	Aakula, Eemeli (1879-1955)	Male	1879-01-01	1955-12-31	jäsen	Maalaisliiton eduskuntaryhmä (1930-1933)	http://ldf.fi/semparl/groups/g3120483882249427796	http://ldf.fi/semparl/groups/pg4	1930-10-21	1936-08-31	Kesk.	http://ldf.fi/semparl/groups/Q506591
910216	http://ldf.fi/semparl/people/p910216	Aakula	Pekka		Petter	Aakula, Pekka (1866-1928)	Male	1866-01-01	1928-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1909-1910)	http://ldf.fi/semparl/groups/g1456398722153620144	http://ldf.fi/semparl/groups/pg1	1909-10-01	1911-01-31	SDP	http://ldf.fi/semparl/groups/Q499029
910216	http://ldf.fi/semparl/people/p910216	Aakula	Pekka		Petter	Aakula, Pekka (1866-1928)	Male	1866-01-01	1928-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1917-1917)	http://ldf.fi/semparl/groups/g2733262273187379035	http://ldf.fi/semparl/groups/pg1	1914-02-02	1917-10-31	SDP	http://ldf.fi/semparl/groups/Q499029
910217	http://ldf.fi/semparl/people/p910217	Aalle-Teljo	Ida	Ahlstedt	Ida Sofia	Aalle-Teljo, Ida (1875-1955)	Female	1875-01-01	1955-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1917-1917)	http://ldf.fi/semparl/groups/g2733262273187379035	http://ldf.fi/semparl/groups/pg1	1907-05-22	1917-10-31	SDP	http://ldf.fi/semparl/groups/Q499029
910218	http://ldf.fi/semparl/people/p910218	Aaltio	Eino	Andelin	E.A.; Eino Abram	Aaltio, Eino (1889-1974)	Male	1889-01-01	1974-12-31	jäsen	Maalaisliiton eduskuntaryhmä (1927-1929)	http://ldf.fi/semparl/groups/g2931158381513559880	http://ldf.fi/semparl/groups/pg4	1929-02-01	1929-07-31	Kesk.	http://ldf.fi/semparl/groups/Q506591
910219	http://ldf.fi/semparl/people/p910219	Aaltio	Sampsa		Sampsa Eino Urmas	Aaltio, Sampsa (1927-2013)	Male	1927-01-01	2013-12-31	jäsen	Kansallisen kokoomuksen eduskuntaryhmä (1979-1983)	http://ldf.fi/semparl/groups/g2635046619615549727	http://ldf.fi/semparl/groups/pg2	1979-03-24	1987-03-20	Kok.	http://ldf.fi/semparl/groups/Q304191
910207	http://ldf.fi/semparl/people/p910207	Aalto	Anna-Kaarina			Aalto, Anna-Kaarina (1920-1994)	Female	1920-01-01	1994-12-31	jäsen	Kansallisen kokoomuksen eduskuntaryhmä (1970-1972)	http://ldf.fi/semparl/groups/g1697531733950517573	http://ldf.fi/semparl/groups/pg2	1971-02-02	1972-01-21	Kok.	http://ldf.fi/semparl/groups/Q304191
910220	http://ldf.fi/semparl/people/p910220	Aalto	Artturi	Silfver	Arthur August	Aalto, Artturi (1876-1937)	Male	1876-01-01	1937-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1929-1930)	http://ldf.fi/semparl/groups/g1867966280896458871	http://ldf.fi/semparl/groups/pg1	1919-04-01	1933-08-31	SDP	http://ldf.fi/semparl/groups/Q499029
Q717436	http://ldf.fi/semparl/people/Q717436	Aalto	Arvo			Aalto, Arvo (1932-)	Male	1932-07-13		työvoimaministeri	Sorsan II hallitus	http://ldf.fi/semparl/groups/Sorsa_II	http://ldf.fi/schema/semparl/Government	1977-05-15	1979-05-26	SKDL	http://ldf.fi/semparl/groups/Q585735
Q717436	http://ldf.fi/semparl/people/Q717436	Aalto	Arvo			Aalto, Arvo (1932-)	Male	1932-07-13		työvoimaministeri	Koiviston II hallitus	http://ldf.fi/semparl/groups/Koivisto_II	http://ldf.fi/schema/semparl/Government	1979-05-26	1981-03-20	SKDL	http://ldf.fi/semparl/groups/Q585735
