"id_short"	"id"	"family"	"given"	"other_family_names"	"other_given_names"	"birth"	"death"	"parl_period_start"	"parl_period_end"	"party"	"party_ids"	"label"	"gender"	"role_label"	"group_label"
910215	"http://ldf.fi/semparl/people/p910215"	"Aakula"	"Eemeli"		"Mikko Eemeli; Mikkel Emil"	1879-01-01	1955-01-01	1930-10-21	1936-08-31	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Aakula, Eemeli (1879-1955)"	"Male"	"edustaja"	
910216	"http://ldf.fi/semparl/people/p910216"	"Aakula"	"Pekka"		"Petter"	1866-01-01	1928-01-01	1909-10-01	1911-01-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aakula, Pekka (1866-1928)"	"Male"	"edustaja"	
910216	"http://ldf.fi/semparl/people/p910216"	"Aakula"	"Pekka"		"Petter"	1866-01-01	1928-01-01	1914-02-02	1917-10-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aakula, Pekka (1866-1928)"	"Male"	"edustaja"	
910217	"http://ldf.fi/semparl/people/p910217"	"Aalle-Teljo"	"Ida"	"Ahlstedt"	"Ida Sofia"	1875-01-01	1955-01-01	1907-05-22	1917-10-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalle-Teljo, Ida (1875-1955)"	"Female"	"edustaja"	
910218	"http://ldf.fi/semparl/people/p910218"	"Aaltio"	"Eino"	"Andelin"	"E.A.; Eino Abram"	1889-01-01	1974-01-01	1929-02-01	1929-07-31	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Aaltio, Eino (1889-1974)"	"Male"	"edustaja"	
910219	"http://ldf.fi/semparl/people/p910219"	"Aaltio"	"Sampsa"		"Sampsa Eino Urmas"	1927-01-01	2013-01-01	1979-03-24	1987-03-20	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Aaltio, Sampsa (1927-2013)"	"Male"	"edustaja"	
910207	"http://ldf.fi/semparl/people/p910207"	"Aalto"	"Anna-Kaarina"			1920-01-01	1994-01-01	1971-02-02	1972-01-21	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Aalto, Anna-Kaarina (1920-1994)"	"Female"	"edustaja"	
910220	"http://ldf.fi/semparl/people/p910220"	"Aalto"	"Artturi"	"Silfver"	"Arthur August"	1876-01-01	1937-01-01	1919-04-01	1933-08-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalto, Artturi (1876-1937)"	"Male"	"edustaja"	
"Q717436"	"http://ldf.fi/semparl/people/Q717436"	"Aalto"	"Arvo"			1932-07-13		1977-05-15	1979-05-26	"SKP;SKDL"	"http://ldf.fi/semparl/groups/Q1341419;http://ldf.fi/semparl/groups/Q585735"	"Arvo Aalto (1932-)"	"Male"	"työvoimaministeri"	"Sorsan II hallitus"
"Q717436"	"http://ldf.fi/semparl/people/Q717436"	"Aalto"	"Arvo"			1932-07-13		1979-05-26	1981-03-20	"SKP;SKDL"	"http://ldf.fi/semparl/groups/Q1341419;http://ldf.fi/semparl/groups/Q585735"	"Arvo Aalto (1932-)"	"Male"	"työvoimaministeri"	"Koiviston II hallitus"
910221	"http://ldf.fi/semparl/people/p910221"	"Aalto"	"Johan"	"Ståhlberg"	"Johan Fredrik; J.F."	1886-01-01	1946-01-01	1924-05-01	1930-10-20	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalto, Johan (1886-1946)"	"Male"	"edustaja"	
"Q3810108"	"http://ldf.fi/semparl/people/Q3810108"	"Aalto"	"Jorma"			1935-02-14	2019-01-15					"Jorma S. Aalto (1935-2019)"	"Male"		
910222	"http://ldf.fi/semparl/people/p910222"	"Aalto"	"Kalle"		"Kalle Nestor"	1884-01-01	1950-01-01	1919-10-16	1922-09-04	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalto, Kalle (1884-1950)"	"Male"	"edustaja"	
910208	"http://ldf.fi/semparl/people/p910208"	"Aalto"	"Lyyli"	"Fält; Lyylilä"	"Lyyli Helena"	1916-01-01	1990-01-01	1958-07-22	1979-03-23	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalto, Lyyli (1916-1990)"	"Female"	"edustaja"	
910223	"http://ldf.fi/semparl/people/p910223"	"Aalto"	"Matti"	"Frisk"		1876-01-01	1950-01-01	1907-05-22	1908-07-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aalto, Matti (1876-1950)"	"Male"	"edustaja"	
1346	"http://ldf.fi/semparl/people/p1346"	"Aalto"	"Touko"		"Touko Juhani"	1984-01-01		2015-04-22	2019-04-16	"Vihr."	"http://ldf.fi/semparl/groups/Q196695"	"Aalto, Touko (1984-)"	"Male"	"edustaja"	
910227	"http://ldf.fi/semparl/people/p910227"	"Aalto-Setälä"	"Toivo"	"Aalto"	"T.A.; Toivo Armas"	1896-01-01	1977-01-01	1927-09-02	1929-07-31	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Aalto-Setälä, Toivo (1896-1977)"	"Male"	"edustaja"	
910227	"http://ldf.fi/semparl/people/p910227"	"Aalto-Setälä"	"Toivo"	"Aalto"	"T.A.; Toivo Armas"	1896-01-01	1977-01-01	1930-10-21	1933-08-31	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Aalto-Setälä, Toivo (1896-1977)"	"Male"	"edustaja"	
910209	"http://ldf.fi/semparl/people/p910209"	"Aaltonen"	"Aimo"		"Aimo Anshelm"	1906-01-01	1987-01-01	1945-04-06	1962-02-19	"SKP;SKDL"	"http://ldf.fi/semparl/groups/Q1341419;http://ldf.fi/semparl/groups/Q585735"	"Aaltonen, Aimo (1906-1987)"	"Male"	"edustaja"	
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1929-08-01	1936-08-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"edustaja"	
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1943-01-01	1944-12-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"sosiaaliministeri"	"Linkomiehen hallitus"
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1944-01-01	1944-12-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"sosiaaliministeri"	"Hackzellin hallitus"
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1948-01-01	1948-12-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"salkuton ministeri"	"Fagerholmin hallitus"
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1948-01-01	1949-12-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"toinen valtiovarainministeri"	"Fagerholmin hallitus"
910226	"http://ldf.fi/semparl/people/p910226"	"Aaltonen"	"Aleksi"		"Aleksius"	1892-01-01	1956-01-01	1949-01-01	1950-12-31	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Aaltonen, Aleksi (1892-1956)"	"Male"	"sosiaaliministeri"	"Fagerholmin hallitus"
